#{"t_start": 1755965729.7466593, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,443.835807
-2.0,3,443.929236
-2.0,3,444.010527
-50.0,50,445.24683
-3.0,4,445.347972
-2.0,3,445.418064
-1.0,2,445.46366
-10.0,11,445.715709
-2.0,3,445.789336
-3.0,4,445.879756
-3.0,4,445.973335
-6.0,7,446.134398
-50.0,50,447.415299
-1.0,2,447.463749
-5.0,6,447.611292
-17.0,18,448.050429
-1.0,2,448.107202
-3.0,4,448.205663
-1.0,2,448.251914
-6.0,7,448.451904
-7.0,8,448.640804
-50.0,50,449.97019
-5.0,6,450.127796
-6.0,7,450.327652
-3.0,4,450.439399
-1.0,2,450.493807
-3.0,4,450.602535
-2.0,3,450.693748
-9.0,10,450.974401
-7.0,8,451.209095
-5.0,6,451.420882
-47.0,48,452.847272
-3.0,4,453.002446
-5.0,6,453.225974
-2.0,3,453.347022
-7.0,8,453.694107
-4.0,5,453.888383
-3.0,4,454.014364
-5.0,6,454.201063
-50.0,50,455.452538
-4.0,5,455.578888
-20.0,21,456.065408
-1.0,2,456.1119
-5.0,6,456.251592
-28.0,29,456.930267
-2.0,3,457.001494
0.0,1,457.027738
-5.0,6,457.17082
0.0,1,457.198552
-9.0,10,457.438309
-3.0,4,457.529777
-2.0,3,457.600607
-8.0,9,457.810042
0.0,1,457.833844
-4.0,5,457.948174
-2.0,3,458.018254
-2.0,3,458.096702
-10.0,11,458.351919
-2.0,3,458.418847
-1.0,2,458.465346
-1.0,2,458.518477
-5.0,6,458.656832
-4.0,5,458.771224
-10.0,11,459.027416
-12.0,13,459.341201
-1.0,2,459.386611
-18.0,19,459.825384
-50.0,50,461.026922
-3.0,4,461.134704
-2.0,3,461.223616
-10.0,11,461.551198
-15.0,16,461.947521
-2.0,3,462.026531
-50.0,50,463.377175
-3.0,4,463.478018
-10.0,11,463.742254
-7.0,8,463.943463
-17.0,18,464.478483
-3.0,4,464.606075
-2.0,3,464.700337
-3.0,4,464.830238
-2.0,3,464.921867
-2.0,3,465.012573
-2.0,3,465.094402
-3.0,4,465.203049
-3.0,4,465.306426
-1.0,2,465.354689
-3.0,4,465.4554
-1.0,2,465.511563
-50.0,50,466.981239
-50.0,50,468.343547
-2.0,3,468.416377
-5.0,6,468.577394
-2.0,3,468.648655
-5.0,6,468.788659
-3.0,4,468.885505
-7.0,8,469.089717
-2.0,3,469.166265
-2.0,3,469.239886
-5.0,6,469.391153
-3.0,4,469.497972
-50.0,50,470.724226
-2.0,3,470.793501
-1.0,2,470.84459
-50.0,50,472.009299
-4.0,5,472.126047
-50.0,50,473.244747
-3.0,4,473.336352
-10.0,11,473.59852
-4.0,5,473.709011
-3.0,4,473.804778
-4.0,5,473.920729
-50.0,50,474.913456
-2.0,3,474.992414
-11.0,12,475.291799
-7.0,8,475.469339
-6.0,7,475.648695
-1.0,2,475.694738
-7.0,8,475.873364
-7.0,8,476.060664
-3.0,4,476.163665
-3.0,4,476.253417
0.0,1,476.27651
-2.0,3,476.34545
0.0,1,476.375201
-10.0,11,476.70186
-23.0,24,477.338414
-17.0,18,477.758213
-1.0,2,477.812035
-4.0,5,477.929555
-3.0,4,478.018707
-2.0,3,478.085514
-3.0,4,478.18638
-9.0,10,478.411123
-3.0,4,478.503274
-3.0,4,478.593512
0.0,1,478.623651
-4.0,5,478.742087
0.0,1,478.770133
-12.0,13,479.071377
-5.0,6,479.214441
-4.0,5,479.32775
-50.0,50,480.477729
-11.0,12,480.748532
-20.0,21,481.198626
-1.0,2,481.235995
-4.0,5,481.334172
-11.0,12,481.562158
0.0,1,481.585498
-2.0,3,481.696748
-2.0,3,481.756718
-3.0,4,481.833334
-1.0,2,481.880624
0.0,1,481.902533
-1.0,2,481.948054
-5.0,6,482.100599
-4.0,5,482.226932
-50.0,50,483.500757
-25.0,26,484.193533
-6.0,7,484.370722
-13.0,14,484.719239
-5.0,6,484.865119
-29.0,30,485.599604
-1.0,2,485.646199
-4.0,5,485.769448
-9.0,10,486.01282
0.0,1,486.035916
-5.0,6,486.176246
-8.0,9,486.386632
-5.0,6,486.523366
-2.0,3,486.590987
-8.0,9,486.800466
-6.0,7,486.97233
-14.0,15,487.307731
-12.0,13,487.611416
-1.0,2,487.658153
-50.0,50,488.700939
-2.0,3,488.758221
-3.0,4,488.839699
-3.0,4,488.918466
-3.0,4,489.00578
-13.0,14,489.29312
-3.0,4,489.3823
-1.0,2,489.4276
-3.0,4,489.525795
-1.0,2,489.570798
-1.0,2,489.61839
-2.0,3,489.685137
-6.0,7,489.848592
-11.0,12,490.116707
-2.0,3,490.186575
-2.0,3,490.25783
-9.0,10,490.490546
-2.0,3,490.557718
-2.0,3,490.626984
-5.0,6,490.764668
-5.0,6,490.908971
-50.0,50,491.904736
-6.0,7,492.045637
-1.0,2,492.089595
-3.0,4,492.182525
-6.0,7,492.342355
-3.0,4,492.433159
-10.0,11,492.687467
-4.0,5,492.813062
-6.0,7,492.975112
-28.0,29,493.646267
-2.0,3,493.714926
0.0,1,493.745944
-2.0,3,493.821292
-2.0,3,493.888775
-4.0,5,494.004157
-3.0,4,494.100866
-2.0,3,494.17089
-7.0,8,494.352736
-1.0,2,494.398082
-4.0,5,494.526391
-8.0,9,494.728158
-7.0,8,494.915168
-2.0,3,494.987226
-7.0,8,495.179823
-1.0,2,495.225957
-2.0,3,495.295676
-2.0,3,495.361974
-9.0,10,495.594769
0.0,1,495.617381
-7.0,8,495.795428
-3.0,4,495.887517
-2.0,3,495.968224
-3.0,4,496.058329
-5.0,6,496.193294
-5.0,6,496.329021
-9.0,10,496.55889
-7.0,8,496.738006
-3.0,4,496.832881
-11.0,12,497.116993
-12.0,13,497.419014
-3.0,4,497.509704
-5.0,6,497.642963
-4.0,5,497.761428
-3.0,4,497.86337
0.0,1,497.88699
-6.0,7,498.044668
-4.0,5,498.159888
-7.0,8,498.350704
-1.0,2,498.395777
-2.0,3,498.463976
-5.0,6,498.599792
-14.0,15,498.954839
-3.0,4,499.044873
-6.0,7,499.20952
-1.0,2,499.254639
-3.0,4,499.341165
-1.0,2,499.378176
-4.0,5,499.469702
-1.0,2,499.506338
-1.0,2,499.549508
-3.0,4,499.622436
-5.0,6,499.735264
-10.0,11,499.936287
-3.0,4,500.021443
-1.0,2,500.060482
-1.0,2,500.098074
-1.0,2,500.137806
-8.0,9,500.326915
-7.0,8,500.507366
-6.0,7,500.663826
-3.0,4,500.759274
-6.0,7,500.932126
-1.0,2,500.978788
-2.0,3,501.046641
-3.0,4,501.136089
-4.0,5,501.261771
-10.0,11,501.507564
-5.0,6,501.642726
-8.0,9,501.855436
-2.0,3,501.935162
-7.0,8,502.119353
-2.0,3,502.187328
-2.0,3,502.258778
-1.0,2,502.309363
-4.0,5,502.42415
-11.0,12,502.692305
-6.0,7,502.853863
-2.0,3,502.930644
-3.0,4,503.019168
-3.0,4,503.107574
-50.0,50,504.250968
-1.0,2,504.302504
-6.0,7,504.43372
-5.0,6,504.543803
-2.0,3,504.597799
-2.0,3,504.658185
-5.0,6,504.768399
-6.0,7,504.93968
